store_name,time_period,theme,avg_weighted_score,count
Store5,1-3 Years Ago,Comfort,2,1
Store5,1-3 Years Ago,Ease of locating items,1.53,187
Store5,1-3 Years Ago,Other,1.53,312
Store5,1-3 Years Ago,Staff Behaviour,1.5,215
Store5,1-3 Years Ago,Price/Value,1.5,2
Store5,1-3 Years Ago,Cleanliness,1.33,140
Store5,1-3 Years Ago,Parking,1.2,4
Store5,1-3 Years Ago,Quality,1.2,1
Store5,1-3 Years Ago,Waiting Time,1.01,106
Store5,1-3 Years Ago,Food Quality,1,1
Store5,1-3 Years Ago,Price,0.85,2
Store5,1-3 Years Ago,Lighting in the car park,0.6,1
Store5,1-3 Years Ago,Customer Service,0.4,1
Store5,1-3 Years Ago,Prices,0.4,1
Store5,1-3 Years Ago,Customer Satisfaction,0.3,1
Store5,Past 3 Months,Ease of locating items,1.87,12
Store5,Past 3 Months,Staff Behaviour,1.5,7
Store5,Past 3 Months,Other,1.48,16
Store5,Past 3 Months,Parking/Facilities,1.2,1
Store5,Past 3 Months,Cleanliness,1.08,4
Store5,Past 3 Months,Waiting Time,0.68,5
Store5,Past 3-12 Months,Other,1.61,51
Store5,Past 3-12 Months,Ease of locating items,1.58,26
Store5,Past 3-12 Months,Staff Behaviour,1.44,26
Store5,Past 3-12 Months,Parking,1.2,1
Store5,Past 3-12 Months,Price,1.2,1
Store5,Past 3-12 Months,Cleanliness,1.11,15
Store5,Past 3-12 Months,Waiting Time,0.89,17
Store5,Past Month,Ease of locating items,1.32,4
Store5,Past Month,Staff Behaviour,1.3,4
Store5,Past Month,Cleanliness,1.07,3
Store5,Past Month,Other,0.86,5
Store5,Past Month,Waiting Time,0.43,3
